ID,frase_es,frase_sh,dominio,fecha,origen
1,LAS DOS MUJERES Y LA ARDILLA,JIMIARA NUA NUYA KUNAMP,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
2,"Antiguamente en la selva, vivía una ardilla de buen corazón a quien le gustaba hacer el bien","Yaunchu, kunamp penker enentaimin, yaimkiatniun wakerin ikiam pujuya timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
3,"Una noche, llegaron hacia su casa dos mujeres y le pidieron posada","Kashi, jimiará nua tariarmia timiaja tura chichainiak ame jeemin pujustai tusar wakeraji tiarmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
4,A lo cual la ardilla les respondió,Tura kunamp chichak,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
5,"Son bienvenidas todo el tiempo que quieran, siempre y cuando también me ayuden en mis actividades diarias","Tarum pujustarum tura winiash Takatjai yainkiatarum,timia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
6,"Gracias, así lo haremos respondieron las dos mujeres","Yuminsajme, tiarmia timiaja mai nuwaka",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
7,"Al siguiente día, para poner a prueba la lealtad de las visitantes, la ardilla les pidió que fueran a cosechar un poco de choclo en la huerta, dándoles una canasta a cada una","Kashin tsawarmanum, kunamp mai nuwan nekapmamsattsa. Ajanam werum shaa kuir juutarum, tii. Ankan ankan chankinian atakas akupkarmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
8,Al llegar al lugar vieron que era muy poco el cultivo y empezaron a burlarse diciendo,"Ajanam jeawar, shaa kuir tii ishichik nuyá uchich asamtai, kunampen juni tiar wishikrarmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
9,A este pequeño cultivo nos ha dicho que vengamos a cosechar. Esto lo acabaremos en un instante. Ni una canasta se hade llenar,"Chi juniniak shaa kuir juuka utitiarum taa juka chikichki chankincha jeashtatja, juka warik amutkatai tiar, nuwaka wishiarmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
10,"Cuando empezaron a cosechar, la huerta se iba haciendo cada vez más grande, y rápidamente se llenaron las canastas","Shaa kuira juuta juarkimiunam, ajaka uunt ajaki wemia, tuma chankinniumsha shaaka kuirkia warik piarkarmia timia, timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
11,"Al ver esto, las mujeres empezaron a murmurar en contra de la ardilla",Nuna isar nuaka kunampen Ishishmatiarmia timiaja,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
12,"Esa ardilla muelona, sin darnos canastas suficientes nos ha enviado a cosechar. Al llegar vamos a desmuelarla","juni tíar Kunamp, nai ajatmakniua Au chankinian nukap amatsuk akuptamkaj, jearir nai akaratai tiarmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
